xmin,xmax,xmid,count,density,n
4.4,4.6000000000000005,4.5,1,0.019607843137254884,255
4.6000000000000005,4.800000000000001,4.700000000000001,0,0,255
4.800000000000001,5,4.9,1,0.019607843137254975,255
5,5.2,5.1,3,0.058823529411764656,255
5.2,5.4,5.300000000000001,1,0.019607843137254884,255
5.4,5.6000000000000005,5.5,1,0.019607843137254884,255
5.6000000000000005,5.800000000000001,5.700000000000001,1,0.019607843137254884,255
5.800000000000001,6,5.9,5,0.09803921568627487,255
6,6.2,6.1,4,0.07843137254901954,255
6.2,6.4,6.300000000000001,2,0.03921568627450977,255
6.4,6.6000000000000005,6.5,5,0.09803921568627443,255
6.6000000000000005,6.800000000000001,6.700000000000001,0,0,255
6.800000000000001,7,6.9,0,0,255
7,7.200000000000001,7.1000000000000005,2,0.039215686274509595,255
7.200000000000001,7.4,7.300000000000001,2,0.03921568627450995,255
7.4,7.6000000000000005,7.5,2,0.03921568627450977,255
7.6000000000000005,7.800000000000001,7.700000000000001,2,0.03921568627450977,255
7.800000000000001,8,7.9,4,0.0784313725490199,255
8,8.200000000000001,8.100000000000001,4,0.07843137254901919,255
8.200000000000001,8.4,8.3,3,0.05882352941176492,255
8.4,8.600000000000001,8.5,6,0.11764705882352879,255
8.600000000000001,8.8,8.700000000000001,8,0.1568627450980398,255
8.8,9,8.9,10,0.19607843137254974,255
9,9.200000000000001,9.100000000000001,10,0.196078431372548,255
9.200000000000001,9.4,9.3,22,0.4313725490196094,255
9.4,9.600000000000001,9.5,26,0.5098039215686248,255
9.600000000000001,9.8,9.700000000000001,40,0.784313725490199,255
9.8,10,9.9,54,1.0588235294117685,255
10,10.200000000000001,10.100000000000001,34,0.6666666666666632,255
10.200000000000001,10.4,10.3,2,0.03921568627450995,255
